Data;Horário
05/09/2025;08:05
06/09/2025;07:37
07/09/2025;08:12
08/09/2025;08:52
09/09/2025;07:32
10/09/2025;07:32
11/09/2025;08:54
12/09/2025;08:18
13/09/2025;07:22
14/09/2025;08:07
15/09/2025;07:22
16/09/2025;07:22
17/09/2025;07:54
18/09/2025;06:17
19/09/2025;06:25
20/09/2025;07:18
21/09/2025;06:57
22/09/2025;07:57
23/09/2025;07:02
24/09/2025;06:39
25/09/2025;08:49
26/09/2025;07:33
27/09/2025;07:46
28/09/2025;06:39
29/09/2025;07:19
30/09/2025;07:48
01/10/2025;06:51
02/10/2025;08:00
03/10/2025;07:16
04/10/2025;07:30
05/10/2025;07:16
06/10/2025;09:06
07/10/2025;07:42
08/10/2025;06:55
09/10/2025;08:20
10/10/2025;06:48
11/10/2025;07:52
12/10/2025;06:15
13/10/2025;06:43
14/10/2025;07:52
15/10/2025;08:16
16/10/2025;07:51
17/10/2025;07:38
18/10/2025;07:29
19/10/2025;06:36
20/10/2025;07:11
21/10/2025;07:22
22/10/2025;08:31
23/10/2025;07:58
24/10/2025;06:24
