UF;COD_UF;COD_MUNIC;MUNICIPIO;POPULACAO_ESTIMADA
RO;11;00015;Alta Floresta D'Oeste;22787
RO;11;00023;Ariquemes;109170
RO;11;00031;Cabixi;5664
RO;11;00049;Cacoal;98280
RO;11;00056;Cerejeiras;16966
RO;11;00064;Colorado do Oeste;16508
RO;11;00072;Corumbiara;7968
RO;11;00080;Costa Marques;13510
RO;11;00098;Espigão D'Oeste;32842
RO;11;00106;Guajará-Mirim;43594
RO;11;00114;Jaru;55682
RO;11;00122;Ji-Paraná;140101
RO;11;00130;Machadinho D'Oeste;34149
RO;11;00148;Nova Brasilândia D'Oeste;16374
RO;11;00155;Ouro Preto do Oeste;38684
RO;11;00189;Pimenta Bueno;39220
RO;11;00205;Porto Velho;517709
RO;11;00254;Presidente Médici;20443
RO;11;00262;Rio Crespo;3767
RO;11;00288;Rolim de Moura;62959
RO;11;00296;Santa Luzia D'Oeste;7837
RO;11;00304;Vilhena;109651
RO;11;00320;São Miguel do Guaporé;22305
RO;11;00338;Nova Mamoré;28701
RO;11;00346;Alvorada D'Oeste;13720
RO;11;00379;Alto Alegre dos Parecis;12237
RO;11;00403;Alto Paraíso;17467
RO;11;00452;Buritis;30649
RO;11;00502;Novo Horizonte do Oeste;7972
RO;11;00601;Cacaulândia;4292
RO;11;00700;Campo Novo de Rondônia;9095
RO;11;00809;Candeias do Jamari;24313
RO;11;00908;Castanheiras;3450
RO;11;00924;Chupinguaia;10191
RO;11;00940;Cujubim;15877
RO;11;01005;Governador Jorge Teixeira;8340
RO;11;01104;Itapuã do Oeste;9228
RO;11;01203;Ministro Andreazza;6519
RO;11;01302;Mirante da Serra;9657
RO;11;01401;Monte Negro;12168
RO;11;01435;Nova União;6541
RO;11;01450;Parecis;4372
RO;11;01468;Pimenteiras do Oeste;2309
RO;11;01476;Primavera de Rondônia;3268
RO;11;01484;São Felipe D'Oeste;5588
RO;11;01492;São Francisco do Guaporé;17557
RO;11;01500;Seringueiras;12965
RO;11;01559;Teixeirópolis;4521
RO;11;01609;Theobroma;8459
RO;11;01708;Urupá;11314
RO;11;01757;Vale do Anari;8220
RO;11;01807;Vale do Paraíso;6790
AC;12;00013;Acrelândia;14712
AC;12;00054;Assis Brasil;8648
AC;12;00104;Brasiléia;28028
AC;12;00138;Bujari;13928
AC;12;00179;Capixaba;10981
AC;12;00203;Cruzeiro do Sul;98916
AC;12;00252;Epitaciolândia;19874
AC;12;00302;Feijó;37764
AC;12;00328;Jordão;9884
AC;12;00336;Mâncio Lima;20479
AC;12;00344;Manoel Urbano;12923
AC;12;00351;Marechal Thaumaturgo;18057
AC;12;00385;Plácido de Castro;17107
AC;12;00393;Porto Walter;11333
AC;12;00401;Rio Branco;389001
AC;12;00427;Rodrigues Alves;15560
AC;12;00435;Santa Rosa do Purus;7217
AC;12;00450;Senador Guiomard;22402
AC;12;00500;Sena Madureira;44049
AC;12;00609;Tarauacá;46816
AC;12;00708;Xapuri;19170
AC;12;00807;Porto Acre;17523
AM;13;00029;Alvarães;16806
AM;13;00060;Amaturá;11533
AM;13;00086;Anamã;9981
AM;13;00102;Anori;18056
AM;13;00144;Apuí;21781
AM;13;00201;Atalaia do Norte;15889
AM;13;00300;Autazes;45960
AM;13;00409;Barcelos;18210
AM;13;00508;Barreirinha;33722
AM;13;00607;Benjamin Constant;40908
AM;13;00631;Beruri;22495
AM;13;00680;Boa Vista do Ramos;26479
AM;13;00706;Boca do Acre;38792
AM;13;00805;Borba;34869
AM;13;00839;Caapiranga;14806
AM;13;00904;Canutama;18109
AM;13;01001;Carauari;31130
AM;13;01100;Careiro;32336
AM;13;01159;Careiro da Várzea;20324
AM;13;01209;Coari;73576
AM;13;01308;Codajás;24572
AM;13;01407;Eirunepé;35793
AM;13;01506;Envira;17985
AM;13;01605;Fonte Boa;28227
AM;13;01654;Guajará;14344
AM;13;01704;Humaitá;63454
AM;13;01803;Ipixuna;25629
AM;13;01852;Iranduba;68862
AM;13;01902;Itacoatiara;113917
AM;13;01951;Itamarati;11956
AM;13;02009;Itapiranga;10955
AM;13;02108;Japurá;9420
AM;13;02207;Juruá;11093
AM;13;02306;Jutaí;28202
AM;13;02405;Lábrea;49469
AM;13;02504;Manacapuru;111751
AM;13;02553;Manaquiri;16211
AM;13;02603;Manaus;2303732
AM;13;02702;Manicoré;58018
AM;13;02801;Maraã;15815
AM;13;02900;Maués;66336
AM;13;03007;Nhamundá;21251
AM;13;03106;Nova Olinda do Norte;28123
AM;13;03205;Novo Airão;16562
AM;13;03304;Novo Aripuanã;25325
AM;13;03403;Parintins;101855
AM;13;03502;Pauini;20229
AM;13;03536;Presidente Figueiredo;33291
AM;13;03569;Rio Preto da Eva;25364
AM;13;03601;Santa Isabel do Rio Negro;13947
AM;13;03700;Santo Antônio do Içá;30679
AM;13;03809;São Gabriel da Cachoeira;57396
AM;13;03908;São Paulo de Olivença;35442
AM;13;03957;São Sebastião do Uatumã;12338
AM;13;04005;Silves;12619
AM;13;04062;Tabatinga;73348
AM;13;04104;Tapauá;20728
AM;13;04203;Tefé;80137
AM;13;04237;Tonantins;20257
AM;13;04260;Uarini;15640
AM;13;04302;Urucará;19617
AM;13;04401;Urucurituba;25965
RR;14;00027;Amajari;16112
RR;14;00050;Alto Alegre;23589
RR;14;00100;Boa Vista;485477
RR;14;00159;Bonfim;15570
RR;14;00175;Cantá;21102
RR;14;00209;Caracaraí;22750
RR;14;00233;Caroebe;12004
RR;14;00282;Iracema;10937
RR;14;00308;Mucajaí;20006
RR;14;00407;Normandia;16323
RR;14;00456;Pacaraima;23112
RR;14;00472;Rorainópolis;37787
RR;14;00506;São João da Baliza;9969
RR;14;00605;São Luiz;7848
RR;14;00704;Uiramutã;16186
PA;15;00107;Abaetetuba;172344
PA;15;00131;Abel Figueiredo;6275
PA;15;00206;Acará;63110
PA;15;00305;Afuá;40473
PA;15;00347;Água Azul do Norte;17596
PA;15;00404;Alenquer;75882
PA;15;00503;Almeirim;36442
PA;15;00602;Altamira;138749
PA;15;00701;Anajás;30247
PA;15;00800;Ananindeua;509227
PA;15;00859;Anapu;35638
PA;15;00909;Augusto Corrêa;47912
PA;15;00958;Aurora do Pará;24193
PA;15;01006;Aveiro;19380
PA;15;01105;Bagre;35147
PA;15;01204;Baião;56850
PA;15;01253;Bannach;4290
PA;15;01303;Barcarena;139076
PA;15;01402;Belém;1397315
PA;15;01451;Belterra;19075
PA;15;01501;Benevides;68962
PA;15;01576;Bom Jesus do Tocantins;19129
PA;15;01600;Bonito;12961
PA;15;01709;Bragança;132489
PA;15;01725;Brasil Novo;27130
PA;15;01758;Brejo Grande do Araguaia;6966
PA;15;01782;Breu Branco;47066
PA;15;01808;Breves;116058
PA;15;01907;Bujaru;25065
PA;15;01956;Cachoeira do Piriá;19223
PA;15;02004;Cachoeira do Arari;25467
PA;15;02103;Cametá;144859
PA;15;02152;Canaã dos Carajás;89524
PA;15;02202;Capanema;75309
PA;15;02301;Capitão Poço;60318
PA;15;02400;Castanhal;209126
PA;15;02509;Chaves;21501
PA;15;02608;Colares;13625
PA;15;02707;Conceição do Araguaia;47144
PA;15;02756;Concórdia do Pará;28270
PA;15;02764;Cumaru do Norte;15150
PA;15;02772;Curionópolis;20975
PA;15;02806;Curralinho;36814
PA;15;02855;Curuá;14954
PA;15;02905;Curuçá;44880
PA;15;02939;Dom Eliseu;62823
PA;15;02954;Eldorado do Carajás;29287
PA;15;03002;Faro;9167
PA;15;03044;Floresta do Araguaia;18595
PA;15;03077;Garrafão do Norte;25558
PA;15;03093;Goianésia do Pará;26703
PA;15;03101;Gurupá;34137
PA;15;03200;Igarapé-Açu;37925
PA;15;03309;Igarapé-Miri;69446
PA;15;03408;Inhangapi;10784
PA;15;03457;Ipixuna do Pará;29264
PA;15;03507;Irituia;32740
PA;15;03606;Itaituba;135369
PA;15;03705;Itupiranga;52201
PA;15;03754;Jacareacanga;26579
PA;15;03804;Jacundá;37726
PA;15;03903;Juruti;54255
PA;15;04000;Limoeiro do Ajuru;32088
PA;15;04059;Mãe do Rio;37473
PA;15;04109;Magalhães Barata;8439
PA;15;04208;Marabá;290975
PA;15;04307;Maracanã;27129
PA;15;04406;Marapanim;28159
PA;15;04422;Marituba;119437
PA;15;04455;Medicilândia;28677
PA;15;04505;Melgaço;30080
PA;15;04604;Mocajuba;28903
PA;15;04703;Moju;91760
PA;15;04752;Mojuí dos Campos;25818
PA;15;04802;Monte Alegre;64002
PA;15;04901;Muaná;49648
PA;15;04950;Nova Esperança do Piriá;21304
PA;15;04976;Nova Ipixuna;14400
PA;15;05007;Nova Timboteua;13175
PA;15;05031;Novo Progresso;37054
PA;15;05064;Novo Repartimento;63796
PA;15;05106;Óbidos;55527
PA;15;05205;Oeiras do Pará;36734
PA;15;05304;Oriximiná;72889
PA;15;05403;Ourém;18783
PA;15;05437;Ourilândia do Norte;35252
PA;15;05486;Pacajá;43741
PA;15;05494;Palestina do Pará;7063
PA;15;05502;Paragominas;113498
PA;15;05536;Parauapebas;305771
PA;15;05551;Pau D'Arco;7354
PA;15;05601;Peixe-Boi;8686
PA;15;05635;Piçarra;13366
PA;15;05650;Placas;18510
PA;15;05700;Ponta de Pedras;25736
PA;15;05809;Portel;67580
PA;15;05908;Porto de Moz;44121
PA;15;06005;Prainha;38733
PA;15;06104;Primavera;11379
PA;15;06112;Quatipuru;11838
PA;15;06138;Redenção;92694
PA;15;06161;Rio Maria;19190
PA;15;06187;Rondon do Pará;57031
PA;15;06195;Rurópolis;37198
PA;15;06203;Salinópolis;48663
PA;15;06302;Salvaterra;25687
PA;15;06351;Santa Bárbara do Pará;22530
PA;15;06401;Santa Cruz do Arari;7626
PA;15;06500;Santa Izabel do Pará;79195
PA;15;06559;Santa Luzia do Pará;21295
PA;15;06583;Santa Maria das Barreiras;17065
PA;15;06609;Santa Maria do Pará;25815
PA;15;06708;Santana do Araguaia;30455
PA;15;06807;Santarém;360871
PA;15;06906;Santarém Novo;6355
PA;15;07003;Santo Antônio do Tauá;29234
PA;15;07102;São Caetano de Odivelas;17258
PA;15;07151;São Domingos do Araguaia;21555
PA;15;07201;São Domingos do Capim;32554
PA;15;07300;São Félix do Xingu;64651
PA;15;07409;São Francisco do Pará;15429
PA;15;07458;São Geraldo do Araguaia;24929
PA;15;07466;São João da Ponta;4470
PA;15;07474;São João de Pirabas;21477
PA;15;07508;São João do Araguaia;14293
PA;15;07607;São Miguel do Guamá;55970
PA;15;07706;São Sebastião da Boa Vista;27651
PA;15;07755;Sapucaia;6212
PA;15;07805;Senador José Porfírio;24989
PA;15;07904;Soure;25315
PA;15;07953;Tailândia;75290
PA;15;07961;Terra Alta;10837
PA;15;07979;Terra Santa;19792
PA;15;08001;Tomé-Açu;73058
PA;15;08035;Tracuateua;30494
PA;15;08050;Trairão;15550
PA;15;08084;Tucumã;42883
PA;15;08100;Tucuruí;96119
PA;15;08126;Ulianópolis;39360
PA;15;08159;Uruará;45962
PA;15;08209;Vigia;54062
PA;15;08308;Viseu;62189
PA;15;08357;Vitória do Xingu;16552
PA;15;08407;Xinguara;57768
AP;16;00055;Serra do Navio;5003
AP;16;00105;Amapá;8440
AP;16;00154;Pedra Branca do Amapari;13888
AP;16;00204;Calçoene;11461
AP;16;00212;Cutias;4723
AP;16;00238;Ferreira Gomes;7184
AP;16;00253;Itaubal;6097
AP;16;00279;Laranjal do Jari;37872
AP;16;00303;Macapá;489676
AP;16;00402;Mazagão;23773
AP;16;00501;Oiapoque;30786
AP;16;00535;Porto Grande;19048
AP;16;00550;Pracuúba;4048
AP;16;00600;Santana;118803
AP;16;00709;Tartarugalzinho;13816
AP;16;00808;Vitória do Jari;11899
TO;17;00251;Abreulândia;2682
TO;17;00301;Aguiarnópolis;4502
TO;17;00350;Aliança do Tocantins;5196
TO;17;00400;Almas;6483
TO;17;00707;Alvorada;9128
TO;17;01002;Ananás;10700
TO;17;01051;Angico;2903
TO;17;01101;Aparecida do Rio Negro;5110
TO;17;01309;Aragominas;5330
TO;17;01903;Araguacema;6022
TO;17;02000;Araguaçu;8242
TO;17;02109;Araguaína;183024
TO;17;02158;Araguanã;4300
TO;17;02208;Araguatins;33286
TO;17;02307;Arapoema;5488
TO;17;02406;Arraias;10511
