DS_CIDADE;DS_SETOR;COD_DESTINACAO_IMOVEL;ANO_VENDA;NR_EDITAL;ITEM_EDITAL;VALOR_LAUDO;PERCENTUAL_ENTRADA;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS;SITUACAO_VISTORIA;TIPO_USO_DESTINACAO;RESIDENCIAL;COMERCIAL;INDUSTRIAL;INSTITUCIONAL;AGIO_ABSOLUTO;AGIO_PERCENTUAL
TAGUATINGA;BAIRRO AGUAS CLARAS-QS;60228;2022;2022-1;1;13800000;0.3;41451000.0;60000.0;60000.0;75000.0;7;OCUPADO;Institucional;0;0;0;1;27651000.0;200.3695652173913
BRASILIA;SETOR DE HABITACOES INDIVIDUAIS NORTE        ;60211;2022;2022-1;2;1090000;0.05;1220000.0;1400.0;1400.0;1000.0;6;VAGO;Unifamiliar;1;0;0;0;130000.0;11.926605504587156
CEILANDIA;SETOR O NORTE                                ;60217;2022;2022-1;5;1730000;0.05;1800000.0;7650.0;5100.0;2550.0;1;VAGO;Mista;1;1;1;1;70000.0;4.046242774566474
CEILANDIA;SETOR HABITACIONAL SOL NASCENTE TRECHO 01 ETAPA I;60219;2022;2022-1;7;48300;0.05;184062.52;286.76;286.76;143.38;12;CERCADO;Mista;1;1;1;1;135762.52;281.0818219461697
CEILANDIA;SETOR HABITACIONAL SOL NASCENTE TRECHO 01 ETAPA I;60219;2022;2022-1;8;48400;0.05;178952.51;288.0;288.0;144.0;16;CERCADO;Mista;1;1;1;1;130552.51000000001;269.7365909090909
CEILANDIA;SETOR HABITACIONAL SOL NASCENTE TRECHO 01 ETAPA I;60219;2022;2022-1;10;48400;0.05;51101.01;288.02;288.02;144.01;3;EM CONSTRUCAO;Mista;1;1;1;1;2701.010000000002;5.580599173553724
CEILANDIA;SETOR INDUSTRIAL I                           ;60225;2022;2022-1;13;77660;0.05;121000.0;315.0;315.0;210.0;3;OCUPADO;Mista;0;1;1;1;43340.0;55.80736543909348
CEILANDIA;SETOR INDUSTRIAL I                           ;60225;2022;2022-1;17;419715;0.05;450000.0;2100.0;2100.0;1050.0;1;OCUPADO;Mista;0;1;1;1;30285.0;7.215610592902326
GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;60214;2022;2022-1;21;252000;0.05;452999.0;369.96;369.96;154.15;41;VAGO;Unifamiliar;1;0;0;0;200999.0;79.76150793650794
GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;60220;2022;2022-1;22;259000;0.05;463990.0;380.76;380.76;158.65;16;VAGO;Mista;1;1;1;1;204990.0;79.14671814671814
SAO SEBASTIAO;SETOR HABITACIONAL JARDIM BOTANICO;60214;2022;2022-1;23;473000;0.05;826000.0;1028.55;1028.55;685.7;20;VAGO;Unifamiliar;1;0;0;0;353000.0;74.63002114164905
LAGO NORTE;SETOR HABITACIONAL TAQUARI;60211;2022;2022-1;24;606000;0.05;927120.0;758.528;758.528;948.16;23;CERCADO;Unifamiliar;1;0;0;0;321120.0;52.990099009900995
RECANTO DAS EMAS;SETOR HOSPITALAR;60217;2022;2022-1;26;372000;0.05;382000.0;977.5;765.0;425.0;1;OBSTRUIDO;Mista;1;1;1;1;10000.0;2.6881720430107525
RECANTO DAS EMAS;AREA DE DESENVOLVIMENTO ECONOMICO;60227;2022;2022-1;27;130000;0.05;130000.0;437.84;437.84;109.46;1;OCUPADO;Mista;1;1;1;1;0.0;0.0
RIACHO FUNDO;QUADRA DE OFICINAS;60227;2022;2022-1;28;279900;0.05;390000.0;400.0;280.0;200.0;3;OCUPADO;Mista;1;1;1;1;110100.0;39.33547695605573
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;60217;2022;2022-1;29;418000;0.05;635000.0;1125.0;525.0;375.0;3;VAGO;Mista;1;1;1;1;217000.0;51.91387559808612
SAMAMBAIA;QN-SAMAMBAIA;60217;2022;2022-1;35;118000;0.05;136000.0;350.0;200.0;100.0;1;CERCADO;Mista;1;1;1;1;18000.0;15.254237288135593
SAMAMBAIA;QN-SAMAMBAIA;60217;2022;2022-1;40;143000;0.05;152891.0;350.0;200.0;100.0;1;VAGO;Mista;1;1;1;1;9891.0;6.916783216783216
SAMAMBAIA;QN-SAMAMBAIA;60217;2022;2022-1;42;143000;0.05;153891.0;350.0;200.0;100.0;1;VAGO;Mista;1;1;1;1;10891.0;7.616083916083916
SAMAMBAIA;QN-SAMAMBAIA;60217;2022;2022-1;43;143000;0.05;145000.0;350.0;200.0;100.0;1;VAGO;Mista;1;1;1;1;2000.0;1.3986013986013985
SAMAMBAIA;QN-SAMAMBAIA;60217;2022;2022-1;44;158000;0.05;226660.0;402.5;230.0;115.0;3;VAGO;Mista;1;1;1;1;68660.0;43.45569620253165
SAMAMBAIA;QR-SAMAMBAIA;60217;2022;2022-1;47;772000;0.05;779720.0;2480.87;1417.64;708.82;1;VAGO;Mista;1;1;1;1;7720.0;1.0
SAMAMBAIA;QR-SAMAMBAIA;60217;2022;2022-1;48;766000;0.05;773660.0;2812.04;1406.02;703.01;1;VAGO;Mista;1;1;1;1;7660.0;1.0
SAMAMBAIA;QS-SAMAMBAIA;60217;2022;2022-1;49;143000;0.05;155155.0;350.0;200.0;100.0;2;VAGO;Mista;1;1;1;1;12155.0;8.5
SAMAMBAIA;QS-SAMAMBAIA;60217;2022;2022-1;50;143000;0.05;150000.0;350.0;200.0;100.0;3;VAGO;Mista;1;1;1;1;7000.0;4.895104895104895
SAMAMBAIA;QS-SAMAMBAIA;60217;2022;2022-1;58;118000;0.05;236720.0;350.0;200.0;100.0;1;VAGO;Mista;1;1;1;1;118720.0;100.61016949152541
SAMAMBAIA;QN-SAMAMBAIA;60219;2022;2022-1;73;187000;0.05;195501.0;600.0;400.0;200.0;1;VAGO;Mista;1;1;1;1;8501.0;4.545989304812834
SAMAMBAIA;QN-SAMAMBAIA;60219;2022;2022-1;74;424000;0.05;424500.0;1500.0;1000.0;500.0;1;VAGO;Mista;1;1;1;1;500.0;0.1179245283018868
SAMAMBAIA;QN-SAMAMBAIA;60220;2022;2022-1;81;109000;0.05;111111.11;300.0;200.0;100.0;1;OCUPADO;Mista;1;1;1;1;2111.1100000000006;1.9367981651376154
SAMAMBAIA;QN-SAMAMBAIA;60220;2022;2022-1;82;109000;0.05;109000.0;300.0;200.0;100.0;1;VAGO;Mista;1;1;1;1;0.0;0.0
SAMAMBAIA;QN-SAMAMBAIA;60220;2022;2022-1;87;91300;0.05;105000.0;225.0;150.0;75.0;1;OCUPADO;Mista;1;1;1;1;13700.0;15.005476451259584
SAMAMBAIA;QN-SAMAMBAIA;60220;2022;2022-1;88;91300;0.05;105000.0;225.0;150.0;75.0;1;OCUPADO;Mista;1;1;1;1;13700.0;15.005476451259584
