CD_IMOVEL;SETOR;CIDADE;COD_DESTINACAO_IMOVEL;ANO_VENDA;EDITAL_VENDA;ITEM_EDITAL;VALOR_LAUDO;VALOR_VENDA;AREA_MAX_CONSTR;AREA_MAXIMA;AREA;QTD_OFERTAS
807120;SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;1893;2020;1;1;13860000;14523091;5670;5670;900;2
492991;SETOR DE DESENVOLVIMENTO ECONOMICO CENTRO NORTE;CEILANDIA;60227;2020;1;9;190000;190000;600;600;300;1
594793;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;1;11;189000;310000.99;324.552;324.552;135.23;14
59419;PRACA CENTRAL                                ;NUCLEO BANDEIRANTE;60222;2020;1;17;2252340;11554160.77;1650;3300;1650;13
242280;RECANTO DAS EMAS;RECANTO DAS EMAS;60216;2020;1;22;153000;155000;332.712;369.68;184.84;1
75545;QN-SAMAMBAIA;SAMAMBAIA;60217;2020;1;26;580000;617777.77;1130;2260;565;2
190977;QN-SAMAMBAIA;SAMAMBAIA;60217;2020;1;27;149000;152000;200;350;100;1
458303;QN-SAMAMBAIA;SAMAMBAIA;60220;2020;1;40;93200;100100;150;225;75;1
462373;QN-SAMAMBAIA;SAMAMBAIA;60220;2020;1;49;466000;485000;1080;1620;540;2
188108;QN-SAMAMBAIA;SAMAMBAIA;60220;2020;1;50;865000;901000;2061.6;3092.4;1030.8;1
212005;BAIRRO AGUAS CLARAS;TAGUATINGA;60220;2020;2;3;12020000;12300111;8959.77;14932.95;2986.59;1
474353;AREA DES/ECONOMICO-AGUAS CLARAS;TAGUATINGA;60224;2020;2;4;796000;796000;1600;1600;800;1
807156;SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;60599;2020;2;7;5770000;5900000;750;750;750;1
468873;SETOR DE MULTIPLAS ATIVIDADES SUL;BRASILIA;60572;2020;2;8;18650000;19407100;16115.984;16115.984;10072.49;1
213210;SETOR DE MATERIAL DE CONSTRUCAO              ;CEILANDIA;60225;2020;2;10;274000;340000;1800;1800;900;2
66481;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;2;11;105000;130250;472.5;472.5;315;2
