SIM_SITIMO_CD;SIM_SITIMO_DS;CD_IMOVEL_URBANO;DT_VISTORIA;CD_VISTORIA
6;CERCADO;20151;14/11/2023;250749
1;VAGO;21501;05/12/2023;252324
3;OCUPADO;22132;13/07/2022;235488
2;OBSTRUIDO;22182;20/02/2020;218237
2;OBSTRUIDO;24319;15/08/2025;272094
6;CERCADO;30312;14/08/2025;272079
1;VAGO;47152;16/09/2022;237003
1;VAGO;48315;24/01/2022;232279
3;OCUPADO;51259;20/01/2021;223814
3;OCUPADO;52987;29/04/2025;269199
3;OCUPADO;53930;02/06/2023;243739
1;VAGO;53969;30/08/2022;236648
3;OCUPADO;54410;06/03/2023;241048
1;VAGO;54743;11/09/2024;263412
3;OCUPADO;55065;18/08/2021;228849
3;OCUPADO;55469;25/10/2022;238062
3;OCUPADO;55525;11/02/2020;217922
1;VAGO;55549;06/06/2024;258506
1;VAGO;55838;09/02/2026;277456
2;OBSTRUIDO;56796;28/01/2025;266500
2;OBSTRUIDO;56925;20/04/2020;218975
3;OCUPADO;57278;14/09/2022;236921
1;VAGO;57773;05/07/2023;244559
1;VAGO;57811;29/04/2024;257449
2;OBSTRUIDO;57814;12/11/2024;264907
3;OCUPADO;58050;01/06/2023;243663
3;OCUPADO;58103;26/05/2023;243518
3;OCUPADO;58104;26/05/2023;243519
3;OCUPADO;58166;03/06/2022;234813
2;OBSTRUIDO;59364;24/11/2025;275558
1;VAGO;59385;10/08/2020;220530
3;OCUPADO;59419;09/02/2021;224324
3;OCUPADO;59518;23/10/2025;274616
3;OCUPADO;59524;11/09/2025;272948
4;CONSTRUIDO;59530;19/01/2024;253850
3;OCUPADO;59772;25/11/2020;222567
2;OBSTRUIDO;59809;22/01/2026;276841
1;VAGO;60123;16/04/2020;218918
1;VAGO;60124;28/09/2020;221281
1;VAGO;60125;28/09/2020;221282
1;VAGO;60126;28/09/2020;221283
1;VAGO;60127;01/03/2020;218342
1;VAGO;60192;24/04/2024;257315
5;EM CONSTRUCAO;60246;04/04/2025;268554
1;VAGO;60271;24/04/2024;257316
4;CONSTRUIDO;60314;04/03/2020;218388
1;VAGO;60446;24/07/2020;220301
6;CERCADO;60463;05/07/2024;259660
1;VAGO;60627;23/05/2022;234607
6;CERCADO;60669;11/08/2023;246301
1;VAGO;60673;09/02/2023;240468
6;CERCADO;60941;17/03/2020;218690
3;OCUPADO;61045;23/02/2021;224576
6;CERCADO;61306;15/07/2020;220080
1;VAGO;61452;22/04/2025;268973
1;VAGO;61546;17/10/2025;274384
3;OCUPADO;61574;23/02/2021;224577
6;CERCADO;61582;16/05/2022;234445
5;EM CONSTRUCAO;61638;31/03/2023;241904
1;VAGO;61640;25/04/2023;242607
1;VAGO;61643;04/02/2022;232459
1;VAGO;61647;24/10/2024;264549
1;VAGO;61670;25/04/2023;242610
1;VAGO;61685;28/05/2025;269824
3;OCUPADO;61706;08/07/2025;270978
1;VAGO;61764;19/03/2024;256130
0;SITUACAO NAO CADASTRADA;62161;07/01/2021;223548
5;EM CONSTRUCAO;62178;05/05/2023;242961
2;OBSTRUIDO;62728;16/01/2025;266229
1;VAGO;62753;11/01/2023;239754
3;OCUPADO;62895;26/09/2024;263793
1;VAGO;63201;16/07/2024;261290
2;OBSTRUIDO;63208;17/03/2023;241393
1;VAGO;63209;09/01/2023;239709
1;VAGO;63212;20/04/2023;242408
6;CERCADO;63349;17/05/2024;258098
6;CERCADO;63350;17/05/2024;258099
6;CERCADO;63351;17/05/2024;258100
6;CERCADO;63352;17/05/2024;258101
5;EM CONSTRUCAO;63353;17/05/2024;258102
5;EM CONSTRUCAO;63354;17/05/2024;258103
1;VAGO;63355;17/05/2024;258105
2;OBSTRUIDO;63466;03/05/2023;242841
3;OCUPADO;63479;16/08/2023;246499
2;OBSTRUIDO;63482;07/04/2021;225672
3;OCUPADO;63514;17/09/2025;273247
2;OBSTRUIDO;63560;25/03/2020;218712
3;OCUPADO;63722;17/08/2020;220615
3;OCUPADO;63991;23/03/2023;241671
6;CERCADO;64140;28/12/2023;253286
3;OCUPADO;64217;02/03/2026;278090
1;VAGO;64348;01/06/2020;219405
1;VAGO;64350;25/10/2021;230799
1;VAGO;64359;21/06/2024;258885
1;VAGO;64381;19/05/2023;243402
1;VAGO;64438;08/12/2023;252957
3;OCUPADO;64691;31/05/2021;226633
6;CERCADO;64998;21/09/2021;229844
1;VAGO;65001;21/09/2021;229845
2;OBSTRUIDO;65203;07/06/2021;226754
1;VAGO;65213;26/06/2025;270512
1;VAGO;65278;12/04/2024;257027
1;VAGO;65397;09/04/2025;268748
4;CONSTRUIDO;65439;10/10/2024;264053
1;VAGO;65608;31/01/2022;232409
1;VAGO;65609;31/01/2022;232410
1;VAGO;65610;31/01/2022;232411
1;VAGO;65613;16/12/2025;276196
1;VAGO;65615;16/12/2025;276197
1;VAGO;65616;16/10/2025;274421
1;VAGO;65617;16/12/2025;276198
1;VAGO;65618;31/01/2022;232419
2;OBSTRUIDO;65619;30/10/2025;274828
2;OBSTRUIDO;65626;30/10/2025;274885
2;OBSTRUIDO;65627;30/10/2025;274886
2;OBSTRUIDO;65628;30/11/2025;274888
2;OBSTRUIDO;65631;07/01/2026;276427
2;OBSTRUIDO;65632;07/01/2026;276428
2;OBSTRUIDO;65633;07/01/2026;276429
2;OBSTRUIDO;65634;08/01/2026;276472
2;OBSTRUIDO;65635;08/01/2026;276473
2;OBSTRUIDO;65636;08/01/2026;276474
