DS_SETOR;DS_CIDADE;COD_DESTINACAO_IMOVEL;EDITAL_VENDA;ITEM_EDITAL;VALOR_LAUDO;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS;SITUACAO_VISTORIA;AGIO_ABSOLUTO;AGIO_PERCENTUAL
SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;1893;01/2020;1;13860000;14523091.0;5670.0;5670.0;900.0;2;VAGO;663091.0;4.784206349206349
SETOR DE DESENVOLVIMENTO ECONOMICO CENTRO NORTE;CEILANDIA;60227;01/2020;9;190000;190000.0;600.0;600.0;300.0;1;OCUPADO;0.0;0.0
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;01/2020;11;189000;310000.99;324.552;324.552;135.23;14;OCUPADO;121000.98999999999;64.02168783068782
PRACA CENTRAL                                ;NUCLEO BANDEIRANTE;60222;01/2020;17;2252340;11554160.77;3300.0;1650.0;1650.0;13;OCUPADO;9301820.77;412.9847523020503
RECANTO DAS EMAS;RECANTO DAS EMAS;60216;01/2020;22;153000;155000.0;369.68;332.712;184.84;1;VAGO;2000.0;1.3071895424836601
QN-SAMAMBAIA;SAMAMBAIA;60217;01/2020;26;580000;617777.77;2260.0;1130.0;565.0;2;OBSTRUIDO;37777.77000000002;6.513408620689658
QN-SAMAMBAIA;SAMAMBAIA;60217;01/2020;27;149000;152000.0;350.0;200.0;100.0;1;VAGO;3000.0;2.013422818791946
QN-SAMAMBAIA;SAMAMBAIA;60220;01/2020;40;93200;100100.0;225.0;150.0;75.0;1;VAGO;6900.0;7.4034334763948495
QN-SAMAMBAIA;SAMAMBAIA;60220;01/2020;49;466000;485000.0;1620.0;1080.0;540.0;2;OCUPADO;19000.0;4.07725321888412
QN-SAMAMBAIA;SAMAMBAIA;60220;01/2020;50;865000;901000.0;3092.4;2061.6;1030.8;1;OCUPADO;36000.0;4.161849710982659
BAIRRO AGUAS CLARAS;TAGUATINGA;60220;02/2020;3;12020000;12300111.0;14932.95;8959.77;2986.59;1;CERCADO;280111.0;2.3303743760399334
AREA DES/ECONOMICO-AGUAS CLARAS;TAGUATINGA;60224;02/2020;4;796000;796000.0;1600.0;1600.0;800.0;1;OCUPADO;0.0;0.0
SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;60599;02/2020;7;5770000;5900000.0;750.0;750.0;750.0;1;VAGO;130000.0;2.2530329289428077
SETOR DE MULTIPLAS ATIVIDADES SUL;BRASILIA;60572;02/2020;8;18650000;19407100.0;16115.984;16115.984;10072.49;1;VAGO;757100.0;4.059517426273458
SETOR DE MATERIAL DE CONSTRUCAO              ;CEILANDIA;60225;02/2020;10;274000;340000.0;1800.0;1800.0;900.0;2;OCUPADO;66000.0;24.087591240875913
SETOR INDUSTRIAL I                           ;CEILANDIA;60225;02/2020;11;105000;130250.0;472.5;472.5;315.0;2;OCUPADO;25250.0;24.047619047619047
SETOR INDUSTRIAL I                           ;CEILANDIA;60225;02/2020;12;105000;140000.0;472.5;472.5;315.0;3;OCUPADO;35000.0;33.33333333333333
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;14;224000;241000.0;388.8;388.8;162.0;2;VAGO;17000.0;7.5892857142857135
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;15;230000;301010.0;399.6;399.6;166.5;3;VAGO;71010.0;30.87391304347826
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;16;283000;351500.0;504.072;504.072;210.03;6;VAGO;68500.0;24.204946996466433
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;17;224000;333200.0;388.8;388.8;162.0;1;VAGO;109200.0;48.75
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;18;230000;335100.0;399.6;399.6;166.5;7;OCUPADO;105100.0;45.69565217391304
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;19;230000;334000.0;399.6;399.6;166.5;4;EM CONSTRUCAO;104000.0;45.21739130434783
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;20;224000;334000.0;388.8;388.8;162.0;4;EM CONSTRUCAO;110000.0;49.107142857142854
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;21;224000;331200.0;388.8;388.8;162.0;7;VAGO;107200.0;47.85714285714286
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;22;230000;340000.0;399.6;399.6;166.5;2;VAGO;110000.0;47.82608695652174
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;23;230000;335200.0;399.6;399.6;166.5;2;VAGO;105200.0;45.73913043478261
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2020;24;224000;335200.0;388.8;388.8;162.0;3;VAGO;111200.0;49.642857142857146
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60220;02/2020;25;264000;375550.0;465.696;465.696;194.04;3;VAGO;111550.0;42.25378787878788
POLO DE MODAS - SRIA/GUARA;GUARA;60216;02/2020;27;414000;521005.0;772.72;579.54;193.18;3;VAGO;107005.0;25.846618357487923
POLO DE MODAS - SRIA/GUARA;GUARA;60216;02/2020;28;412000;481010.0;768.0;576.0;192.0;1;CERCADO;69010.0;16.75
POLO DE MODAS - SRIA/GUARA;GUARA;60216;02/2020;29;1188180;1455010.0;768.0;576.0;192.0;1;OCUPADO;266830.0;22.457035129357507
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60217;02/2020;30;4257000;4485105.98;5058.87;5058.87;1686.29;1;VAGO;228105.98000000045;5.358373972280959
SETOR COMPLEMENTAR INDUSTRIA E ABASTECIMENTO;GUARA;60225;02/2020;33;10720000;10720000.0;28993.46;21745.095;14496.73;1;OCUPADO;0.0;0.0
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2020;35;414000;442354.76;1200.0;1200.0;800.0;4;VAGO;28354.76000000001;6.848975845410631
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60221;02/2020;36;489000;500000.0;600.0;600.0;400.0;1;VAGO;11000.0;2.2494887525562373
SETOR HOSPITALAR;RECANTO DAS EMAS;60217;02/2020;41;377000;377000.77;920.0;720.0;400.0;1;OCUPADO;0.7700000000186265;0.00020424403183517945
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;45;306000;462000.0;931.02;434.476;310.34;3;VAGO;156000.0;50.98039215686274
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;46;105000;151100.0;273.0;127.4;91.0;6;VAGO;46100.0;43.904761904761905
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;47;105000;131327.92;273.0;127.4;91.0;3;VAGO;26327.920000000013;25.074209523809536
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;48;105000;127500.0;273.0;127.4;91.0;3;OBSTRUIDO;22500.0;21.428571428571427
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;49;105000;125950.0;273.0;127.4;91.0;2;VAGO;20950.0;19.952380952380953
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;50;105000;106000.0;273.0;127.4;91.0;1;OCUPADO;1000.0;0.9523809523809524
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;51;105000;116900.0;273.0;127.4;91.0;2;VAGO;11900.0;11.333333333333332
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;52;105000;125100.0;273.0;127.4;91.0;2;VAGO;20100.0;19.142857142857142
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;53;105000;130100.0;273.0;127.4;91.0;3;VAGO;25100.0;23.904761904761905
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;54;105000;130100.0;273.0;127.4;91.0;2;VAGO;25100.0;23.904761904761905
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2020;55;105000;130100.0;273.0;127.4;91.0;4;VAGO;25100.0;23.904761904761905
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;02/2020;56;54500;130000.0;95.0;66.5;47.5;2;VAGO;75500.0;138.5321100917431
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;02/2020;57;56500;60500.0;98.92;69.244;49.46;1;VAGO;4000.0;7.079646017699115
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;02/2020;58;81000;122500.0;149.62;104.734;74.81;1;VAGO;41500.0;51.23456790123457
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;02/2020;59;56900;101000.0;99.8;69.86;49.9;4;VAGO;44100.0;77.50439367311071
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;02/2020;60;54500;130000.0;95.0;66.5;47.5;3;VAGO;75500.0;138.5321100917431
QS-SAMAMBAIA;SAMAMBAIA;60217;02/2020;63;149000;194150.0;350.0;200.0;100.0;1;VAGO;45150.0;30.302013422818792
QS-SAMAMBAIA;SAMAMBAIA;60217;02/2020;64;149000;175000.0;350.0;200.0;100.0;2;VAGO;26000.0;17.449664429530202
QI-SAMAMBAIA;SAMAMBAIA;60218;02/2020;65;3540000;3600100.0;9675.0;6450.0;3225.0;1;VAGO;60100.0;1.6977401129943503
QN-SAMAMBAIA;SAMAMBAIA;60219;02/2020;66;401000;510100.0;1125.0;750.0;375.0;3;VAGO;109100.0;27.206982543640894
QS-SAMAMBAIA;SAMAMBAIA;60219;02/2020;68;147000;147450.0;433.5;289.0;144.5;1;VAGO;450.0;0.30612244897959184
AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;02/2020;72;163000;165500.99;560.0;560.0;280.0;1;OCUPADO;2500.9899999999907;1.534349693251528
AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;02/2020;73;211000;279950.0;747.0;747.0;373.5;2;VAGO;68950.0;32.677725118483416
BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;02/2020;80;292000;292015.0;779.619;714.651;259.873;1;VAGO;15.0;0.005136986301369864
BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;02/2020;81;343000;346900.0;900.486;825.446;300.162;2;VAGO;3900.0;1.1370262390670554
BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;02/2020;82;343000;345009.0;901.191;826.092;300.397;2;VAGO;2009.0;0.5857142857142856
BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;02/2020;83;559000;567500.0;1457.406;1335.956;485.802;4;VAGO;8500.0;1.520572450805009
BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;02/2020;84;418000;426000.0;1087.944;997.282;362.648;1;VAGO;8000.0;1.9138755980861244
SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;1894;03/2020;3;6290000;6322000.0;2286.0;2286.0;900.0;1;VAGO;32000.0;0.5087440381558028
SETOR DE HABITACOES INDIVIDUAIS SUL          ;BRASILIA;60212;03/2020;5;6220000;7221000.0;7680.0;7680.0;9600.0;3;OBSTRUIDO;1001000.0;16.093247588424436
SETOR M NORTE-QUADRA COMERCIAL               ;CEILANDIA;60217;03/2020;6;393300;4511000.0;1113.75;445.5;222.75;17;OBSTRUIDO;4117700.0;1046.9616069158403
SETOR N NORTE-QUADRA COMERCIAL               ;CEILANDIA;60217;03/2020;7;643000;651000.0;2000.0;800.0;400.0;2;OCUPADO;8000.0;1.244167962674961
SETOR O NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60219;03/2020;8;381000;541100.0;1212.75;808.5;404.25;2;OCUPADO;160100.0;42.020997375328086
SETOR DE DESENVOLVIMENTO ECONOMICO CENTRO NORTE;CEILANDIA;60227;03/2020;9;217000;231000.0;700.0;700.0;350.0;1;OCUPADO;14000.0;6.451612903225806
SETOR INDUSTRIAL I                           ;CEILANDIA;60225;03/2020;10;74600;97850.0;315.0;315.0;210.0;2;OCUPADO;23250.0;31.16621983914209
SETOR INDUSTRIAL I                           ;CEILANDIA;60225;03/2020;11;74600;100500.0;315.0;315.0;210.0;3;OCUPADO;25900.0;34.71849865951743
SETOR INDUSTRIAL I                           ;CEILANDIA;60225;03/2020;12;74600;100500.0;315.0;315.0;210.0;3;CERCADO;25900.0;34.71849865951743
SETOR INDUSTRIAL I                           ;CEILANDIA;60225;03/2020;13;74600;97850.0;315.0;315.0;210.0;2;OCUPADO;23250.0;31.16621983914209
SETOR INDUSTRIAL I                           ;CEILANDIA;60225;03/2020;14;74600;97850.0;315.0;315.0;210.0;2;OCUPADO;23250.0;31.16621983914209
SETOR DE MULTIPLAS ATIVIDADES;GAMA;60224;03/2020;17;183000;190100.9;305.616;191.01;191.01;1;VAGO;7100.899999999994;3.8802732240437128
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;03/2020;18;319000;326900.0;580.248;580.248;241.77;1;VAGO;7900.0;2.4764890282131664
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;03/2020;19;245000;265010.0;427.944;427.944;178.31;1;VAGO;20010.0;8.16734693877551
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;03/2020;20;245000;265500.5;427.944;427.944;178.31;2;VAGO;20500.5;8.367551020408163
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;03/2020;21;201000;301777.77;345.6;345.6;144.0;5;VAGO;100777.77000000002;50.13819402985076
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;03/2020;22;224000;245000.0;388.8;388.8;162.0;4;VAGO;21000.0;9.375
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;03/2020;23;230000;267000.0;399.6;399.6;166.5;2;VAGO;37000.0;16.08695652173913
