DS_CIDADE;DS_SETOR;DS_DESTINACAO_IMOVEL;ANO_VENDA;NR_EDITAL;ITEM_EDITAL;VALOR_LAUDO;PERCENTUAL_ENTRADA;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS;SITUACAO_VISTORIA;AGIO_ABSOLUTO;AGIO_PERCENTUAL;PAGTO_A_VISTA
BRASILIA;SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;"PURP 52 - INDUSTRIAL - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS, DE ARTIGOS PARA VIAGEM, DE CALÇADOS, DE FARMOQUÍMICOS E FARMACÊUTICOS, CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS, IMPRESSÃO ETC; COMERCIAL - APENAS VAREJISTAS DE PRODUTOS ESPECIFICADOS NA LEI; PRESTAÇÃO DE SERVIÇOS - MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS, ALIMENTAÇÃO, ATIVIDADES DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO, DE SERVIÇOS FINANCEIROS, JURÍDICAS ETC; INSTITUCIONAL - ADM. PÚBLICA, EDUCAÇÃO, ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA, DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO, ESPORTIVAS ETC; RESIDENCIAL - HABITAÇÃO MULTIFAMILIAR. DETALHAMENTO DE ATIVIDADES, VIDE LC Nº 1041/2024, ANEXO VII - PPCUB.";2026;3;2;7150000;5;7211111.12;2340.0;2340.0;780.0;1;VAGO;61111.12000000011;0.8547009790209805;0
CEILANDIA;SETOR INDUSTRIAL I                           ;UOS CSIIND 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2026;3;3;84300;5;170100.0;315.0;315.0;210.0;13;CERCADO;85800.0;101.77935943060498;0
GAMA;SETOR LESTE                                  ;UOS CSII 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2026;3;4;1590000;5;4801000.0;7200.0;6000.0;2400.0;4;VAGO;3211000.0;201.9496855345912;0
GAMA;SETOR OESTE (COM);UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2026;3;5;1070000;5;2701000.0;6000.0;4000.0;2000.0;4;VAGO;1631000.0;152.42990654205607;0
GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;7;633000;5;633100.01;499.5;499.5;166.5;1;VAGO;100.01000000000931;0.015799368088469084;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2026;3;8;317000;5;351100.0;420.0;420.0;420.0;2;VAGO;34100.0;10.757097791798108;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2026;3;12;335000;5;342700.0;472.27;472.27;472.27;3;VAGO;7700.0;2.298507462686567;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2026;3;17;317000;5;347000.0;420.0;420.0;420.0;2;VAGO;30000.0;9.46372239747634;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2026;3;19;338000;5;338501.0;481.64;481.64;481.64;1;VAGO;501.0;0.1482248520710059;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2026;3;20;342000;5;351000.0;493.96;493.96;493.96;1;VAGO;9000.0;2.631578947368421;0
